District,Number_of_Cases,Week_Start_Date,Month,Year,Week,Week_End_Date
Puttalam,1,12/20/2008,12,2008,52,12/26/2008
Ratnapura,2,12/20/2008,12,2008,52,12/26/2008
Trincomalee,0,12/20/2008,12,2008,52,12/26/2008
Vavuniya,0,12/20/2008,12,2008,52,12/26/2008
Ampara,0,12/27/2008,12,2009,1,1/2/2009
Anuradhapura,0,12/27/2008,12,2009,1,1/2/2009
Badulla,1,12/27/2008,12,2009,1,1/2/2009
Batticaloa,0,12/27/2008,12,2009,1,1/2/2009
Colombo,44,12/27/2008,12,2009,1,1/2/2009
Galle,0,12/27/2008,12,2009,1,1/2/2009
Gampaha,23,12/27/2008,12,2009,1,1/2/2009
Hambantota,5,12/27/2008,12,2009,1,1/2/2009
Jaffna,1,12/27/2008,12,2009,1,1/2/2009
Kalmunai,1,12/27/2008,12,2009,1,1/2/2009
Kalutara,5,12/27/2008,12,2009,1,1/2/2009
Kandy,16,12/27/2008,12,2009,1,1/2/2009
Kegalle,25,12/27/2008,12,2009,1,1/2/2009
Kilinochchi,0,12/27/2008,12,2009,1,1/2/2009
Kurunegala,10,12/27/2008,12,2009,1,1/2/2009
Mannar,0,12/27/2008,12,2009,1,1/2/2009
Matale,21,12/27/2008,12,2009,1,1/2/2009
Matara,18,12/27/2008,12,2009,1,1/2/2009
Monaragala,0,12/27/2008,12,2009,1,1/2/2009
Mullaitivu,0,12/27/2008,12,2009,1,1/2/2009
Nuwara Eliya,2,12/27/2008,12,2009,1,1/2/2009
Polonnaruwa,0,12/27/2008,12,2009,1,1/2/2009
Puttalam,5,12/27/2008,12,2009,1,1/2/2009
Ratnapura,1,12/27/2008,12,2009,1,1/2/2009
Trincomalee,1,12/27/2008,12,2009,1,1/2/2009
Vavuniya,0,12/27/2008,12,2009,1,1/2/2009
Ampara,0,1/3/2009,1,2009,2,1/9/2009
Anuradhapura,0,1/3/2009,1,2009,2,1/9/2009
