District,Year,Week,Week_Start_Date,Week_End_Date,Number_of_Cases,rain_sum (mm),precipitation_sum (mm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),weather_code (wmo code),Estimated_Population,Source_Type,elevation_m
Vavuniya,2014,45,2014-11-01,2014-11-07,4,36.5,36.5,83.85714285714286,95.28571428571428,66.57142857142857,28.542857142857144,22.47142857142857,29.014285714285712,32.371428571428574,25.985714285714288,25.185714285714287,3.0,172148,interpolated,104.0
Vavuniya,2014,46,2014-11-08,2014-11-14,0,31.0,31.0,84.28571428571429,96.85714285714286,65.14285714285714,29.45714285714286,22.457142857142856,29.8,34.01428571428571,26.557142857142857,25.514285714285712,63.0,172148,interpolated,104.0
Vavuniya,2014,47,2014-11-15,2014-11-21,5,67.7,67.7,91.28571428571428,97.28571428571428,79.57142857142857,27.642857142857142,23.15714285714285,29.071428571428573,32.457142857142856,27.314285714285717,24.814285714285717,61.0,172148,interpolated,104.0
Vavuniya,2014,48,2014-11-22,2014-11-28,5,174.3,174.3,90.85714285714286,97.28571428571428,79.85714285714286,26.61428571428572,22.857142857142858,28.357142857142858,30.785714285714285,26.714285714285715,24.27142857142857,63.0,172148,interpolated,104.0
Vavuniya,2014,49,2014-11-29,2014-12-05,3,19.4,19.4,86.57142857142857,95.0,74.57142857142857,26.82857142857143,22.214285714285715,27.357142857142858,30.27142857142857,25.4,24.071428571428573,61.0,172148,interpolated,104.0
Vavuniya,2014,50,2014-12-06,2014-12-12,7,56.9,56.9,90.57142857142856,97.42857142857144,77.0,27.857142857142858,22.785714285714285,28.985714285714288,32.57142857142857,27.057142857142857,24.585714285714285,61.0,172148,interpolated,104.0
Vavuniya,2014,51,2014-12-13,2014-12-19,2,59.7,59.7,90.14285714285714,97.42857142857144,77.42857142857143,27.814285714285717,22.957142857142856,28.814285714285717,32.357142857142854,26.985714285714288,24.842857142857145,63.0,172148,interpolated,104.0
Vavuniya,2014,52,2014-12-20,2014-12-26,3,159.9,159.9,93.42857142857144,96.71428571428572,88.28571428571429,24.914285714285715,22.385714285714283,26.77142857142857,28.77142857142857,25.2,23.414285714285715,63.0,172148,interpolated,104.0
Vavuniya,2015,1,2014-12-27,2015-01-02,2,58.99999999999999,58.99999999999999,89.0,96.85714285714286,78.0,26.52857142857143,21.942857142857143,27.62857142857143,30.657142857142865,25.02857142857143,24.042857142857144,51.0,172164,interpolated,104.0
Vavuniya,2015,2,2015-01-03,2015-01-09,2,1.1,1.1,82.42857142857143,97.71428571428572,60.285714285714285,29.057142857142857,21.285714285714285,28.442857142857143,33.0,24.87142857142857,24.82857142857143,51.0,172164,interpolated,104.0
Vavuniya,2015,3,2015-01-10,2015-01-16,3,1.2000000000000002,1.2000000000000002,74.85714285714286,90.42857142857144,57.0,27.52857142857143,21.085714285714285,26.057142857142857,28.957142857142856,23.528571428571432,23.942857142857143,3.0,172164,interpolated,104.0
Vavuniya,2015,4,2015-01-17,2015-01-23,7,3.4,3.4,79.71428571428571,94.57142857142856,59.0,28.585714285714285,21.385714285714283,27.37142857142857,31.685714285714287,24.571428571428573,24.557142857142857,2.0,172164,interpolated,104.0
Vavuniya,2015,5,2015-01-24,2015-01-30,11,4.4,4.4,78.85714285714286,92.42857142857144,62.0,28.1,22.214285714285715,27.414285714285715,30.47142857142857,25.314285714285717,24.77142857142857,3.0,172164,interpolated,104.0
Vavuniya,2015,6,2015-01-31,2015-02-06,6,27.4,27.4,81.14285714285714,91.57142857142856,66.0,27.585714285714285,22.17142857142857,26.97142857142857,30.185714285714287,25.014285714285712,24.414285714285715,51.0,172164,interpolated,104.0
Vavuniya,2015,7,2015-02-07,2015-02-13,3,19.3,19.3,85.14285714285714,95.0,71.85714285714286,27.857142857142858,22.285714285714285,28.0,31.642857142857142,26.02857142857143,24.6,53.0,172164,interpolated,104.0
Vavuniya,2015,8,2015-02-14,2015-02-20,3,0.0,0.0,75.14285714285714,96.0,48.285714285714285,29.47142857142857,19.65714285714285,26.67142857142857,32.51428571428571,22.1,24.24285714285714,3.0,172164,interpolated,104.0
Vavuniya,2015,9,2015-02-21,2015-02-27,3,24.4,24.4,80.71428571428571,92.42857142857144,62.85714285714285,28.97142857142857,22.4,28.62857142857143,32.7,25.87142857142857,25.15714285714285,51.0,172164,interpolated,104.0
Vavuniya,2015,10,2015-02-28,2015-03-06,2,3.3,3.3,79.28571428571429,96.71428571428572,56.42857142857143,30.714285714285715,22.47142857142857,30.385714285714283,35.271428571428565,26.585714285714285,26.3,51.0,172164,interpolated,104.0
Vavuniya,2015,11,2015-03-07,2015-03-13,1,7.6,7.6,74.57142857142857,92.71428571428572,52.57142857142857,30.75714285714286,22.728571428571428,29.37142857142857,34.228571428571435,26.47142857142857,26.185714285714287,2.0,172164,interpolated,104.0
